"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Frontiers in Immunology","FRONT IMMUNOL","1664-3224","1664-3224","IMMUNOLOGY - SCIE","84,854","7.561","Q1","1.06","99.71"%,
"Computational and Structural Biotechnology Journal","COMPUT STRUCT BIOTEC","2001-0370","2001-0370","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3,620","7.271","Q1","1.11","99.82"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","N/A","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","139,473","5.924","Q1","0.71","99.78"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","N/A","1422-0067","CHEMISTRY, MULTIDISCIPLINARY - SCIE","139,473","5.924","Q2","0.71","99.78"%,
"Pharmaceuticals","PHARMACEUTICALS-BASE","N/A","1424-8247","CHEMISTRY, MEDICINAL - SCIE","5,463","5.863","Q1","1.1","99.62"%,
"Pharmaceuticals","PHARMACEUTICALS-BASE","N/A","1424-8247","PHARMACOLOGY & PHARMACY - SCIE","5,463","5.863","Q1","1.1","99.62"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","IMMUNOLOGY - SCIE","54,782","5.226","Q2","1.4","29.85"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","INFECTIOUS DISEASES - SCIE","54,782","5.226","Q1","1.4","29.85"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","MICROBIOLOGY - SCIE","54,782","5.226","Q2","1.4","29.85"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","CHEMISTRY, MEDICINAL - SCIE","24,157","4.956","Q1","1.34","10.01"%,
