"Journal Data Filtered By:  Selected Editions: SCIE;SSCI Selected JCR Year: 2018 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2018 JIF,JIF Quartile,2018 JCI,% of OA Gold
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","IMMUNOLOGY - SCIE","45,452","5.045","Q1","1.57","19.33"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","INFECTIOUS DISEASES - SCIE","45,452","5.045","Q1","1.57","19.33"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","MICROBIOLOGY - SCIE","45,452","5.045","Q1","1.57","19.33"%,
"Computational and Structural Biotechnology Journal","COMPUT STRUCT BIOTEC","2001-0370","2001-0370","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","1,363","4.72","Q1","1.05","100"%,
"Frontiers in Immunology","FRONT IMMUNOL","1664-3224","1664-3224","IMMUNOLOGY - SCIE","27,827","4.716","Q2","0.94","99.98"%,
"PLoS Neglected Tropical Diseases","PLOS NEGLECT TROP D","1935-2735","1935-2735","PARASITOLOGY - SCIE","26,842","4.487","Q1","1.47","100"%,
"PLoS Neglected Tropical Diseases","PLOS NEGLECT TROP D","1935-2735","1935-2735","TROPICAL MEDICINE - SCIE","26,842","4.487","Q1","1.47","100"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1422-0067","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","53,148","4.183","Q2","0.62","100"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1422-0067","1422-0067","CHEMISTRY, MULTIDISCIPLINARY - SCIE","53,148","4.183","Q2","0.62","100"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","CHEMISTRY, MEDICINAL - SCIE","16,352","3.966","Q1","1.3","3.27"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","16,352","3.966","Q2","1.3","3.27"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","16,352","3.966","Q1","1.3","3.27"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","16,352","3.966","Q1","1.3","3.27"%,
"INTERNATIONAL IMMUNOPHARMACOLOGY","INT IMMUNOPHARMACOL","1567-5769","1878-1705","IMMUNOLOGY - SCIE","12,311","3.361","Q2","1.06","1.28"%,
"INTERNATIONAL IMMUNOPHARMACOLOGY","INT IMMUNOPHARMACOL","1567-5769","1878-1705","PHARMACOLOGY & PHARMACY - SCIE","12,311","3.361","Q2","1.06","1.28"%,
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4,064","3.31","Q2","0.81","1.07"%,
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOPHYSICS - SCIE","4,064","3.31","Q2","0.81","1.07"%,
"PHYSIOLOGIA PLANTARUM","PHYSIOL PLANTARUM","0031-9317","1399-3054","PLANT SCIENCES - SCIE","14,044","3","Q1","1.23","5.81"%,
"MALARIA JOURNAL","MALARIA J","1475-2875","1475-2875","INFECTIOUS DISEASES - SCIE","13,128","2.798","Q2","0.96","100"%,
"MALARIA JOURNAL","MALARIA J","1475-2875","1475-2875","PARASITOLOGY - SCIE","13,128","2.798","Q2","0.96","100"%,
"MALARIA JOURNAL","MALARIA J","1475-2875","1475-2875","TROPICAL MEDICINE - SCIE","13,128","2.798","Q1","0.96","100"%,
"PLoS One","PLOS ONE","1932-6203","1932-6203","MULTIDISCIPLINARY SCIENCES - SCIE","650,727","2.776","Q2","0.59","100"%,
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","82,168","2.705","Q3","0.75","4.73"%,
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOPHYSICS - SCIE","82,168","2.705","Q2","0.75","4.73"%,
