"Journal Data Filtered By:  Selected Editions: SCIE;SSCI Selected JCR Year: 2018 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2018 JIF,JIF Quartile,2018 JCI,% of OA Gold
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, APPLIED - SCIE","66,166","6.044","Q1","1.73","0.96"%,
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, ORGANIC - SCIE","66,166","6.044","Q1","1.73","0.96"%,
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","POLYMER SCIENCE - SCIE","66,166","6.044","Q1","1.73","0.96"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","31,707","4.784","Q1","1.28","0.29"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","CHEMISTRY, APPLIED - SCIE","31,707","4.784","Q1","1.28","0.29"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","POLYMER SCIENCE - SCIE","31,707","4.784","Q1","1.28","0.29"%,
"BIOCHEMICAL JOURNAL","BIOCHEM J","0264-6021","1470-8728","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","46,764","4.331","Q1","0.89","19.56"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1422-0067","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","53,148","4.183","Q2","0.62","100"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1422-0067","1422-0067","CHEMISTRY, MULTIDISCIPLINARY - SCIE","53,148","4.183","Q2","0.62","100"%,
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3,047","3.926","Q2","1.08","0.3"%,
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","CHEMISTRY, ORGANIC - SCIE","3,047","3.926","Q1","1.08","0.3"%,
"APPLIED MICROBIOLOGY AND BIOTECHNOLOGY","APPL MICROBIOL BIOT","0175-7598","1432-0614","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","43,697","3.67","Q2","0.94","7.6"%,
