"Journal Data Filtered By:  Selected Editions: SCIE;SSCI Selected JCR Year: 2019 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF,JIF Quartile,2019 JCI,% of OA Gold
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","N/A","1553-877X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","18,995","23.7","Q1","7.83","0"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","N/A","1553-877X","TELECOMMUNICATIONS - SCIE","18,995","23.7","Q1","7.83","0"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,409","13.669","Q1","4.1","1.92"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, THEORY & METHODS - SCIE","6,409","13.669","Q1","4.1","1.92"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","12,832","9.936","Q1","3.02","0"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","12,832","9.936","Q1","3.02","0"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","TELECOMMUNICATIONS - SCIE","12,832","9.936","Q1","3.02","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","5,098","8.808","Q1","2.95","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","5,098","8.808","Q1","2.95","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","5,098","8.808","Q1","2.95","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","TELECOMMUNICATIONS - SCIE","5,098","8.808","Q1","2.95","0"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","8,150","5.57","Q1","1.58","1.7"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8,150","5.57","Q1","1.58","1.7"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","8,150","5.57","Q1","1.58","1.7"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,097","4.594","Q1","0.84","3.49"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","2,097","4.594","Q1","0.84","3.49"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","TELECOMMUNICATIONS - SCIE","2,097","4.594","Q1","0.84","3.49"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","51,038","3.745","Q1","1.22","100"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","51,038","3.745","Q1","1.22","100"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","TELECOMMUNICATIONS - SCIE","51,038","3.745","Q2","1.22","100"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","CHEMISTRY, ANALYTICAL - SCIE","63,306","3.275","Q2","0.85","100"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","63,306","3.275","Q2","0.85","100"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","INSTRUMENTS & INSTRUMENTATION - SCIE","63,306","3.275","Q1","0.85","100"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","CHEMISTRY, MULTIDISCIPLINARY - SCIE","14,639","2.474","Q2","0.63","100"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","ENGINEERING, MULTIDISCIPLINARY - SCIE","14,639","2.474","Q2","0.63","100"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","14,639","2.474","Q3","0.63","100"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","PHYSICS, APPLIED - SCIE","14,639","2.474","Q2","0.63","100"%,
"International Journal of Network Management","INT J NETW MANAG","1055-7148","1099-1190","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","295","1.338","Q4","0.4","2.06"%,
"International Journal of Network Management","INT J NETW MANAG","1055-7148","1099-1190","TELECOMMUNICATIONS - SCIE","295","1.338","Q4","0.4","2.06"%,
"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","INT J COMMUN SYST","1074-5351","1099-1131","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","1,916","1.319","Q3","0.41","1.11"%,
"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","INT J COMMUN SYST","1074-5351","1099-1131","TELECOMMUNICATIONS - SCIE","1,916","1.319","Q4","0.41","1.11"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
