"Journal Data Filtered By:  Selected Editions: SCIE;SSCI Selected JCR Year: 2018 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2018 JIF,JIF Quartile,2018 JCI,% of OA Gold
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","1553-877X","1553-877X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","16,408","22.973","Q1","8.81","0"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","1553-877X","1553-877X","TELECOMMUNICATIONS - SCIE","16,408","22.973","Q1","8.81","0"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,746","10.716","Q1","3.42","2.1"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, THEORY & METHODS - SCIE","4,746","10.716","Q1","3.42","2.1"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","6,119","9.515","Q1","2.59","0"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","6,119","9.515","Q1","2.59","0"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","TELECOMMUNICATIONS - SCIE","6,119","9.515","Q1","2.59","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","4,228","7.503","Q1","2.85","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","4,228","7.503","Q1","2.85","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","4,228","7.503","Q1","2.85","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","TELECOMMUNICATIONS - SCIE","4,228","7.503","Q1","2.85","0"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","6,959","5.273","Q1","1.4","1.18"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","6,959","5.273","Q1","1.4","1.18"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","6,959","5.273","Q1","1.4","1.18"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","20,879","4.098","Q1","1.4","99.99"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","20,879","4.098","Q1","1.4","99.99"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","TELECOMMUNICATIONS - SCIE","20,879","4.098","Q1","1.4","99.99"%,
